"UO";"EIXO";"ANO";"MES";"SIGLA";"FTE";"DS_FONTE_RECURSO";"CO";"DS_ACOMPANHAMENTO";"PROG";"NOME DO PROGRAMA";"PAOE";"NOME DA ACAO";"FUNCAO";"DS_FUNCAO";"SUBFUNCAO";"DS_SUBFUNCAO";"GR";"VL_ORCADO_INICIAL";"VL_PED";"VL_ORCADO_ATUAL";"VL_EMPENHADO";"VL_LIQUIDADO";"VL_PAGO";"VL_BLOQUEADO";"VL_CONTINGENCIADO";"VL_INDISPONIVEL";"SALDO"
"17101";6;2025;"valr_janeiro";"SEED";"1500";"Recursos não Vinculados de Impostos ";0;"Código Padrão";80;"Desenvolvimento da Educação Básica";2534;"Fortalecimento da Alimentação Escolar - Ensino Fundamental";12;"Educação";361;"Ensino Fundamental";3;15581000;0;15581000;0;0;0;0;0;0;15581000
"18101";2;2025;"valr_janeiro";"SEADI";"1500";"Recursos não Vinculados de Impostos ";0;"Código Padrão";98;"Gestão do Consórcio Interestadual de Desenvolvimento Sustentável da Amazônia Legal ";2484;"Implementação de Políticas Públicas para o Desenvolvimento Sócioeconômico da Amazônia Legal";4;"Administração";121;"Planejamento e Orçamento";3;2500000;0;2500000;0;0;0;0;0;0;2500000
"22102";1;2025;"valr_janeiro";"OE";"1500";"Recursos não Vinculados de Impostos ";0;"Código Padrão";61;"Operações Especiais";2037;"Execução de Sentenças Judiciais";28;"Encargos Especiais";846;"Outros Encargos Especiais";3;82958619;82403300;82958619;82403300;262366,08;262366,08;0;0;0;555319
"23601";3;2025;"valr_janeiro";"FEAS";"1660";"Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS";0;"Código Padrão";93;"Planejamento e Gestão das Políticas de Assistência Social";2539;"Gestão do Cadastro Único no Sistema Único da Assistência Social";8;"Assistência Social";122;"Administração Geral";3;100000;0;100000;0;0;0;0;0;0;100000
"19604";7;2025;"valr_janeiro";"FESP/RR";"2713";"Transferências Fundo a Fundo de Recursos do Fundo de Segurança Pública - FSP - EA";0;"Código Padrão";37;"Segurança e Defesa do Cidadão";2486;"Valorização dos Profissionais de Segurança Pública";6;"Segurança Pública";128;"Formação de Recursos Humanos";3;0;0;0;0;0;0;0;0;0;0
"22302";3;2025;"valr_janeiro";"IPEM/RR";"2700";"Outras Transferências de Convênios ou Instrumentos Congêneres da União - EA";0;"Código Padrão";62;"Proteção e Segurança ao Consumidor";2143;"Serviço de Metrologia Legal";6;"Segurança Pública";125;"Normatização e Fiscalização";3;0;0;0;0;0;0;0;0;0;0
"19103";7;2025;"valr_janeiro";"PMRR";"1500";"Recursos não Vinculados de Impostos ";0;"Código Padrão";37;"Segurança e Defesa do Cidadão";2173;"Ações Sociais da PMRR";6;"Segurança Pública";244;"Assistência Comunitária";3;10000;0;10000;0;0;0;0;0;0;10000
"21101";4;2025;"valr_janeiro";"SEINF";"1720";"Transferências da União Ref. às Part. na Exploração de Petróleo e Gás Natural Destinadas ao FEP ";0;"Código Padrão";75;"Infraestrutura do Sistema Viário";2227;"Manutenção de Obras de Artes Especiais";26;"Transporte";782;"Transporte Rodoviário";3;21375470;0;21375470;0;0;0;0;0;0;21375470
"13601";1;2025;"valr_janeiro";"FUNDEPRO/RR";"2759";"Recursos Vinculados a Fundos - EA";0;"Código Padrão";15;"Segurança e Defesa do Estado";2261;"Operacionalização do Fundo Especial da Procuradoria-Geral do Estado de Roraima - FUNDEPRO/RR";3;"Essencial à Justiça";92;"Representação Judicial e Extrajudicial";3;0;0;0;0;0;0;0;0;0;0
"21101";4;2025;"valr_janeiro";"SEINF";"1501";"Outros Recursos não Vinculados";150;"Recursos Próprio da Entidade - UOS";75;"Infraestrutura do Sistema Viário";3340;"Construção de Estradas Vicinais";26;"Transporte";782;"Transporte Rodoviário";4;0;0;0;0;0;0;0;0;0;0
"34101";3;2025;"valr_janeiro";"SECULT";"1500";"Recursos não Vinculados de Impostos ";0;"Código Padrão";31;"Proteção, Produção e Difusão Cultural";2500;"Execução das Atividades do Museu Integrado de Roraima - MIRR";13;"Cultura";391;"Patrimônio Histórico, Artístico e Arqueológico";4;85000;0;85000;0;0;0;0;0;0;85000
"17201";6;2025;"valr_janeiro";"UERR";"2500";"Recursos não Vinculados de Impostos - EA";0;"Código Padrão";67;"Desenvolvimento da Educação Superior";3396;"Aparelhamento das Unidades Educacionais da Educação Superior";12;"Educação";364;"Ensino Superior";4;0;0;0;0;0;0;0;0;0;0
"17601";6;2025;"valr_janeiro";"FUNDEB";"1540";"Transferências do FUNDEB - Impostos e Transferências de Impostos";0;"Código Padrão";80;"Desenvolvimento da Educação Básica";4444;"Remuneração do Pessoal da Manutenção e Desenvolvimento do Ensino - MDE 30%";12;"Educação";368;"Educação Básica";1;13578332;63130;13578332;63130;1412;0;0;0;0;13515202
"13102";1;2025;"valr_janeiro";"VICE";"1500";"Recursos não Vinculados de Impostos ";0;"Código Padrão";10;"Apoio Administrativo";4404;" Administração de Recursos Humanos da Vice Governadoria";4;"Administração";122;"Administração Geral";1;2244981;158794,08;2244981;158794,08;272557,72;104530,89;0;0;0;2086186,92
"22301";1;2025;"valr_janeiro";"JUCERR";"1500";"Recursos não Vinculados de Impostos ";0;"Código Padrão";10;"Apoio Administrativo";4434;"Administração de Recursos Humanos da JUCERR";23;"Comércio e Serviço";122;"Administração Geral";1;1393435;1393435;1393435;0;0;0;0;0;0;0
"22102";1;2025;"valr_janeiro";"OE";"1500";"Recursos não Vinculados de Impostos ";0;"Código Padrão";61;"Operações Especiais";2073;"Amortização de Encargos de Financiamento da Dívida Interna";28;"Encargos Especiais";843;"Serviço da Dívida Interna";2;95948183;83288301,21;95948183;83288301,21;6910293,02;6910293,02;0;0;0;12659881,79
"18302";1;2025;"valr_janeiro";"ADERR";"1500";"Recursos não Vinculados de Impostos ";0;"Código Padrão";10;"Apoio Administrativo";4350;"Manutenção de Serviços Administrativos Gerais da ADERR";20;"Agricultura";122;"Administração Geral";3;1737004;10000;1737004;10000;0;0;0;0;0;1727004
"15301";1;2025;"valr_janeiro";"IPER";"1802";"Recursos Vinculados ao RPPS - Taxa de Administração";0;"Código Padrão";10;"Apoio Administrativo";4309;"Manutenção de Serviços Administrativos Gerais do IPER";9;"Previdência Social";122;"Administração Geral";3;8306400;2718122,18;8306400;2413451,48;121013,56;0;0;0;0;5588277,82
"23605";3;2025;"valr_janeiro";"FEDDIR";"1500";"Recursos não Vinculados de Impostos ";0;"Código Padrão";85;"Desenvolvimento Social";2466;"Fortalecimento da Política da Pessoa Idosa";8;"Assistência Social";244;"Assistência Comunitária";3;441912;0;441912;0;0;0;0;0;0;441912
"18301";2;2025;"valr_janeiro";"ITERAIMA";"2501";"Outros Recursos não Vinculados - EA";150;"Recursos Próprio da Entidade - UOS";35;"Regularização Fundiária";3120;"Georreferenciamento e Titulação de Lotes em Áreas Rurais";21;"Organização Agrária";127;"Ordenamento Territorial";3;0;0;0;0;0;0;0;0;0;0
"23601";3;2025;"valr_janeiro";"FEAS";"1660";"Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS";0;"Código Padrão";93;"Planejamento e Gestão das Políticas de Assistência Social";2343;"Apoio às Ações de Planejamento, Monitoramento e Controle do SUAS-RR";8;"Assistência Social";122;"Administração Geral";3;0;0;0;0;0;0;0;0;0;0
"23101";3;2025;"valr_janeiro";"SETRABES";"1665";"Transferências de Convênios e Instrumentos Congêneres Vinculados à Assistência Social";0;"Código Padrão";85;"Desenvolvimento Social";2468;"Gerenciamento da Casa da Mulher Brasileira";8;"Assistência Social";244;"Assistência Comunitária";3;105863;0;105863;0;0;0;0;0;0;105863
"19104";7;2025;"valr_janeiro";"API";"1500";"Recursos não Vinculados de Impostos ";0;"Código Padrão";37;"Segurança e Defesa do Cidadão";2315;"Formação, Aperfeiçoamento e Especialização dos Profissionais da Segurança Pública e Defesa Social";6;"Segurança Pública";128;"Formação de Recursos Humanos";3;1376320;0;1376320;0;0;0;0;0;0;1376320
"22302";1;2025;"valr_janeiro";"IPEM/RR";"1700";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";0;"Código Padrão";10;"Apoio Administrativo";4535;"Ações de Informática do IPEM";4;"Administração";122;"Administração Geral";3;81000;0;81000;0;0;0;0;0;0;81000
"17101";6;2025;"valr_janeiro";"SEED";"2569";"Outras Transferências de Recursos do FNDE - EA";0;"Código Padrão";80;"Desenvolvimento da Educação Básica";3576;"Transferências Discricionárias da Educação";12;"Educação";847;"Transferência para a Educação Básica";3;0;0;0;0;0;0;0;0;0;0
"22102";1;2025;"valr_janeiro";"OE";"1500";"Recursos não Vinculados de Impostos ";0;"Código Padrão";61;"Operações Especiais";2495;"Recursos de Transferência Especiais por Emenda Parlamentar";28;"Encargos Especiais";845;"Outras Transferências";4;23022061,35;0;23022061,35;0;0;0;0;0;0;23022061,35
"11101";1;2025;"valr_janeiro";"TCE";"1500";"Recursos não Vinculados de Impostos ";0;"Código Padrão";2;"Execução do Controle Externo";2012;"Realização de Fiscalização Orçamentária, Financeira e Contábil";1;"Legislativa";32;"Controle Externo";4;2605900;60900;2605900;0;0;0;0;0;0;2545000
